,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship_beforesplit,relationship1,relationship2,relationship3,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_14,target_15,target_16,target_17,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,transportation1,transportation2,transportation3,reason1,reason2,reason3,accommodation_1,accommodation_2,accommodation_3,accommodation_4,accommodation_5,accommodation_6,accommodation_7,accommodation_8,accommodation_9,accommodation_10,accommodation_11,accommodation_12,accommodation_13,accommodation_14
3602,2018.0,31130,1,1,1,2.0,0.0,137940.59405940594,,3.0,1,39,1,26,"6,8",1,"5,9,1",1,1.0,,,,,,,,1.0,,1.0,,,,,,,,,31130,,,,,,,,,,,1,,,5,9,1,1.0,,,,,,,,,,,,,
3603,2018.0,21090,1,1,11,2.0,0.0,115000.0,,4.0,2,30,1,26,"6,7",6,"1,12,14",1,1.0,,,,,,,,1.0,1.0,,,,,,,,,,21090,,,,,,,,,,,6,,,1,12,14,11.0,,,,,,,,,,,,,
3605,2018.0,21090,1,0,0,2.0,0.0,40000.0,,4.0,1,45,2,26,"1,6",1,"11,1",3,3.0,,,1.0,,,,,1.0,,,,,,,,,,,21090,,,,,,,,,,,1,,,11,1,,,,,,,,,,,,,,,
3606,2018.0,37420,1,0,0,4.0,0.0,90000.0,,4.0,2,53,2,26,"1,2,6",1,"8,5,14",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,37420,,,,,,,,,,,1,,,8,5,14,,,,,,,,,,,,,,
3607,2018.0,21090,1,0,0,7.0,0.0,40000.0,,4.0,1,16,2,26,"1,2,6","2,6","1,3,9",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,21090,,,,,,,,,,,2,6,,1,3,9,,,,,,,,,,,,,,
3608,2018.0,37040,1,0,0,4.0,2.0,160000.0,,4.0,2,38,5,26,"1,9,11",1,"1,2,8",1,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,,37040,,,,,,,,,,,1,,,1,2,8,,,,,,,,,,,,,,
3609,2018.0,21310,1,0,0,4.0,0.0,100000.0,,5.0,2,52,5,26,11,1,"2,12,8",3,3.0,,,,,,,,,,,,,1.0,,,,,,21310,,,,,,,,,,,1,,,2,12,8,,,,,,,,,,,,,,
3610,2018.0,38030,1,0,0,2.0,0.0,110000.0,,4.0,1,53,5,26,"1,3","1,6",4,3,3.0,,,1.0,,1.0,,,,,,,,,,,,,,38030,,,,,,,,,,,1,6,,4,,,,,,,,,,,,,,,,
3611,2018.0,37020,1,0,0,4.0,0.0,30000.0,,5.0,1,49,5,26,1,1,"2,1,11",1,1.0,,,1.0,,,,,,,,,,,,,,,,37020,,,,,,,,,,,1,,,2,1,11,,,,,,,,,,,,,,
3612,2018.0,21090,1,0,0,3.0,0.0,40000.0,,4.0,1,19,5,26,"1,15",6,"4,9",3,3.0,,,1.0,,,,,,,,,,,,,1.0,,,21090,,,,,,,,,,,6,,,4,9,,,,,,,,,,,,,,,
3613,2018.0,38100,1,0,0,4.0,2.0,39898.9898989899,,5.0,2,46,9,26,"1,2,6",1,"4,8,2","1,3",1.0,3.0,,1.0,1.0,,,,1.0,,,,,,,,,,,38100,,,,,,,,,,,1,,,4,8,2,,,,,,,,,,,,,,
3614,2018.0,38100,1,0,0,1.0,,52173.91304347826,,5.0,1,50,9,26,"3,6",1,"2,4,3",,,,,,,1.0,,,1.0,,,,,,,,,,,38100,,,,,,,,,,,1,,,2,4,3,,,,,,,,,,,,,,
3615,2018.0,37010,1,0,0,4.0,0.0,80000.0,,4.0,1,69,2,26,"1,6",6,"1,12,11",3,3.0,,,1.0,,,,,1.0,,,,,,,,,,,37010,,,,,,,,,,,6,,,1,12,11,,,,,,,,,,,,,,
3616,2018.0,21090,1,0,0,4.0,0.0,64852.9411764706,,5.0,2,21,9,26,"1,2,6",1,"2,1,8",5,5.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,21090,,,,,,,,,,,1,,,2,1,8,,,,,,,,,,,,,,
3617,2018.0,21090,1,0,0,4.0,0.0,41525.42372881356,,4.0,2,45,9,26,"1,2,7",1,"1,4,2",1,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,21090,,,,,,,,,,,1,,,1,4,2,,,,,,,,,,,,,,
3618,2018.0,11240,1,2,11,3.0,0.0,280000.0,,4.0,1,48,1,26,15,1,"2,1,8",1,1.0,,,,,,,,,,,,,,,,1.0,,,11240,,,,,,,,,,,1,,,2,1,8,11.0,11.0,,,,,,,,,,,,
3619,2018.0,35010,1,1,1,3.0,0.0,200000.0,,5.0,2,56,1,26,"6,9,15",6,"2,1,11",3,3.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,35010,,,,,,,,,,,6,,,2,1,11,1.0,,,,,,,,,,,,,
3621,2018.0,"37020,38350",2,"1,1",1,6.0,0.0,142452.83018867928,,5.0,1,35,10,26,"1,2,6",1,"1,2,5",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,37020,38350.0,,,,,,,,,,1,,,1,2,5,1.0,1.0,,,,,,,,,,,,
3622,2018.0,33380,1,2,"1,5",7.0,1.0,160000.0,,4.0,1,57,7,26,"1,2,4",1,"2,1,14",1,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,33380,,,,,,,,,,,1,,,2,1,14,1.0,5.0,,,,,,,,,,,,
3624,2018.0,38350,1,1,1,2.0,0.0,218181.81818181812,,5.0,1,54,8,26,"1,2,16",1,"2,8,4",1,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,38350,,,,,,,,,,,1,,,2,8,4,1.0,,,,,,,,,,,,,
3625,2018.0,32060,1,2,"1,5",2.0,0.0,133333.33333333334,,4.0,1,74,8,26,"1,2,4",1,"4,14,6",1,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,32060,,,,,,,,,,,1,,,4,14,6,1.0,5.0,,,,,,,,,,,,
3626,2018.0,38080,1,1,1,2.0,0.0,72500.0,,4.0,1,34,8,26,"1,6,17",1,"1,11,5",3,3.0,,,1.0,,,,,1.0,,,,,,,,,,1.0,38080,,,,,,,,,,,1,,,1,11,5,1.0,,,,,,,,,,,,,
