,place_info,x,y,target
132,대방사,128.057215287564,34.9366699134411,"힐링, 호캉스"
133,원효사,129.259356421556,35.9035485573768,"힐링, 호캉스"
134,인월사,128.900632253188,37.8009825141314,"힐링, 호캉스"
135,운봉서각공예,127.766174190857,36.4932634372948,"식도락, 맛집투어"
136,곱창골목,127.01939151987,37.5701761358044,"식도락, 맛집투어"
137,명동화교거리,126.982985545421,37.5617459607312,"힐링, 호캉스"
138,금강선원,128.486023547789,37.9147081581586,"힐링, 호캉스"
139,반송삼절사,129.161378402674,35.2294728760931,"힐링, 호캉스"
140,약천사,128.162859659337,37.7303713057021,"힐링, 호캉스"
141,현암사,128.008102194262,37.4335572275313,"힐링, 호캉스"
142,흥복사,129.025418151586,37.1295441419524,"힐링, 호캉스"
143,이호테우해수욕장,126.45309194668,33.4979777578228,액티비티
144,서망해수욕장,126.137795164552,34.3692395047023,액티비티
145,백리포해수욕장,126.155197615551,36.8120998818357,액티비티
146,경주보문관광단지,129.286662986352,35.8427110187272,"축제, 관광"
147,오월드,127.400311819369,36.2884247969899,"축제, 관광"
148,세계꽃식물원,126.859776117191,36.7503878663596,"축제, 관광"
149,태백고원자연휴양림,129.070792439853,37.1317217919888,"축제, 관광"
150,용대자연휴양림,128.343093943951,38.2378607038879,"축제, 관광"
151,대흥사계곡,126.616266353229,34.4825215401378,액티비티
152,무지치폭포,127.309949745694,37.8847574911465,액티비티
153,상계폭포,129.185956619384,36.8051706375836,액티비티
154,수타사계곡,127.957218844137,37.6987439670859,액티비티
155,왕피천계곡,129.311190030561,36.898551614054,액티비티
156,원효계곡,126.990103879342,35.1563764280307,액티비티
157,노봉서원,128.441573245292,36.6224772282483,"축제, 관광"
158,파산서원,126.859994406854,37.9321780389376,"축제, 관광"
159,죽도공원,129.206316950435,35.1790703562158,액티비티
160,순천만습지,127.511060598793,34.8856526175872,"힐링, 호캉스"
161,용두암공원용두암,126.512029598054,33.5160034767865,"축제, 관광"
162,조금나루유원지,126.335378185083,34.9952998919479,"축제, 관광"
163,치산관광온천랜드,128.715234626552,36.0456477698487,"축제, 관광"
164,불지사,128.769746717431,36.0298369947513,"힐링, 호캉스"
165,청량사,127.047777190882,37.5882213090849,"힐링, 호캉스"
166,대원사,127.132599346821,34.9612363433523,"힐링, 호캉스"
167,대관령,128.758962610561,37.6856137305351,"힐링, 호캉스"
168,동춘당문화제,127.441920386131,36.3647015859648,"축제, 관광"
169,우어관광농원,126.485275176033,34.7411802757166,액티비티
170,삼흥관광농원,127.52284024203,36.885051708281,액티비티
171,여주관광농원,127.710588619644,37.3558434085587,액티비티
172,보리사,128.981449764244,36.2057275116517,"힐링, 호캉스"
173,수암사,126.963198560814,36.8422304248009,"힐링, 호캉스"
174,선적사,129.465847271015,36.7404447851346,"힐링, 호캉스"
175,문수사,129.041638112714,36.7629885778725,"힐링, 호캉스"
176,죽청사,129.419067593209,37.0613341249175,"힐링, 호캉스"
177,금산사,126.310329080008,34.8982974641347,"힐링, 호캉스"
178,불영암,126.921840450393,37.4460918316227,"힐링, 호캉스"
179,음식거리,127.423752048689,36.3287727734636,"식도락, 맛집투어"
180,상화문학제,128.618424521161,35.8290585061944,"축제, 관광"
181,신탄진봄꽃축제,127.428350823173,36.4369469164825,"축제, 관광"
182,다혜원허브월드,128.907252872748,35.4301552053114,"힐링, 호캉스"
183,천문사,129.001429208544,35.6627701127908,"힐링, 호캉스"
184,주산벚꽃축제,126.649243740827,36.2511829609259,"축제, 관광"
185,해남송호리해송림,126.518888942399,34.3148827286692,"축제, 관광"
186,충효사,126.888830943652,34.9550136157423,"힐링, 호캉스"
187,미림수목원,127.468679408119,34.9109142161611,"축제, 관광"
188,군산에어쇼,126.535233230355,35.9425388748615,"축제, 관광"
189,민속모시송편,126.504308698955,35.2757219738659,"식도락, 맛집투어"
190,보물섬마늘축제,127.92499299328,34.8168759056869,"축제, 관광"
191,들꽃축제,129.058917525874,35.4781692920207,"축제, 관광"
192,통영예술제,128.42799507194,34.841919175257,"축제, 관광"
193,산청향교,127.880941651873,35.4164325573491,"축제, 관광"
194,도천서원,127.952874302568,35.3273464724857,"축제, 관광"
195,충효테마파크,128.291019180407,35.0219014104155,"힐링, 호캉스"
196,학마을축제,128.519115120843,36.1031609421333,"축제, 관광"
197,정읍전통공예관,126.890719900381,35.5348266584924,"식도락, 맛집투어"
198,도담삼봉음악분수,128.342715954273,37.0024171389841,"힐링, 호캉스"
199,봉촌제,127.382584667135,34.6793062717514,"힐링, 호캉스"
200,화담제,127.347883592389,34.7578975942931,"힐링, 호캉스"
201,성불사,129.144033899609,35.1816307632927,"힐링, 호캉스"
202,제주카트체험장,126.25590443105,33.3478020895714,"힐링, 호캉스"
203,두륜사,126.605558920071,34.5088297898482,"힐링, 호캉스"
204,용문제,126.896939873868,34.7865096265476,"힐링, 호캉스"
205,내동제,126.993977441147,34.8131618553353,"힐링, 호캉스"
206,자포제,127.156681528973,34.8372441880549,"힐링, 호캉스"
207,대야제,127.270632593346,34.812683686944,"힐링, 호캉스"
208,세곡제,127.36245493183,34.8130431442845,"힐링, 호캉스"
209,갑사계곡,127.183194467237,36.3667563400383,액티비티
210,고동산계곡,127.390859736796,37.6680212394523,액티비티
211,칠연계곡,127.702799729731,35.8371242013737,액티비티
