,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship
4676,2020,32010,1,0,,4,0,147000,45750,4,2,53,1,4,1,1,"11,2",3
4677,2020,31130,1,0,,5,2,172500,34500,4,2,75,8,4,"1,9",1,"2,1,14",1
4678,2020,34030,1,1,3,2,0,243000,121500,5,2,28,8,4,"3,12,17",1,"14,10,2",3
4679,2020,31370,1,0,,5,0,310000,62000,4,2,56,8,4,"1,2,16",1,"2,1,11","3,4"
4681,2020,"3,127,031,270",2,1,3,4,1,554000,138500,4,1,44,8,4,"1,3,6",1,"2,4,6",1
4682,2020,31200,1,0,,3,0,107499,35833,4,2,62,8,4,"1,3",1,"3,10",3
4683,2020,"3,835,038,350",2,1,3,4,0,565000,141250,5,2,46,9,4,"1,6",1,"2,1",3
4684,2020,"3,501,035,010",2,1,3,3,0,533001,177667,5,2,54,9,4,"2,6,9",1,"1,2,14",3
4685,2020,34380,1,0,,3,0,209997,69999,5,1,44,9,4,"1,2,6",1,"8,2,9",3
4686,2020,"3,233,032,330",2,1,4,3,0,420000,140000,5,1,53,9,4,"1,2,6",1,"2,1",1
4687,2020,"3,338,033,380",2,1,4,3,0,525000,175000,5,2,63,9,4,"1,6",1,"1,2,14",3
4688,2020,31270,1,0,,3,1,169999,58333,5,1,38,9,4,"1,6",1,"2,1",1
4689,2020,31250,1,0,,3,1,152999,52333,5,2,38,9,4,"1,5,6",1,2,1
4691,2020,31190,1,0,,3,1,186001,79667,4,2,33,2,4,"1,5,17",1,"12,14,5",1
4692,2020,"3,241,032,410",2,1,1,4,0,597000,198000,4,1,27,2,4,"1,2",1,"1,8,6",3
4693,2020,31090,1,0,,5,0,124000,36800,4,2,28,2,4,"1,17",1,"3,2,1",3
4695,2020,24010,1,0,,3,0,131300,131300,4,1,56,3,4,1,2,"3,4",4
4696,2020,"3,107,031,220",2,"0,0",,4,0,55500,55500,4,1,40,3,4,"1,2",1,"12,5,1",4
4697,2020,31240,1,0,,5,0,213000,54600,4,1,72,4,4,"1,6",1,"2,1","1,2"
4698,2020,32310,1,0,,4,0,190000,70000,4,2,38,4,4,1,1,"11,2",3
4699,2020,"3,702,037,020",2,1,3,5,0,496000,99200,4,2,58,4,4,"2,6,9",1,"9,11,1",2
4700,2020,31380,1,0,,5,0,195000,51600,4,2,72,4,4,"1,2,6",1,"2,5","1,2"
4701,2020,"3,203,032,070",2,1,3,3,0,434499,144833,4,2,61,10,4,"2,16,17",1,"6,2,14",3
4703,2020,31370,1,0,,4,0,116500,29125,4,2,57,10,4,"1,11",1,"3,5,4",3
4704,2020,31200,1,0,,2,0,84800,42400,5,1,54,10,4,"1,3,16",1,"10,14",1
4705,2020,"3,501,035,010",2,1,8,4,0,554000,138500,4,2,37,5,4,"1,2,9",1,"5,6,2",3
4706,2020,"3,835,038,350",2,1,1,5,0,591000,118200,4,2,54,5,4,"1,6",1,"6,4,2",3
4707,2020,31200,1,0,,4,0,182000,45500,4,1,74,6,4,1,1,"2,1",3
4708,2020,"350,103,303,033,380",3,"0,1",3,5,0,477000,159400,4,2,54,6,4,"1,6",1,"3,2,11",3
4709,2020,"3,241,032,030",2,1,3,4,0,532500,125625,4,2,46,7,4,"1,17",1,"2,6,1",1
4710,2020,"3,438,034,380",2,1,11,2,0,477000,237750,4,2,37,7,4,"1,6",1,"2,1,6",3
4711,2020,31090,1,0,,2,0,47000,32000,4,2,47,11,4,"1,2",1,"4,2",3
4712,2020,"3,119,011,250",2,"0,0",,2,0,183600,91800,4,1,25,11,4,"1,5",1,"2,12,14",3
4713,2020,"3,234,032,340",2,1,4,4,2,540001,141667,5,2,48,8,4,"1,6",1,"2,1",1
4714,2020,"3,303,033,030",2,1,3,3,0,550002,183334,5,2,52,8,4,"1,6",1,"2,1,6",3
4715,2020,"3,137,011,140",2,"1,0",3,4,0,532000,133000,5,1,28,8,4,"1,5,6",1,"2,1,4",3
4716,2020,"210,902,109,021,090",3,1,4,3,1,534997,179999,5,1,39,8,4,"1,5,6",1,"2,1,6",1
4717,2020,"111,403,233,032,330",3,"0,1",4,3,0,540000,180000,5,2,29,8,4,"1,3,6",1,"2,1,14",3
4718,2020,"3,206,032,410",2,1,4,4,0,570000,142500,5,1,53,8,4,"1,5,6",1,"6,9,1",3
4719,2020,34080,1,0,,3,0,237000,79000,5,2,63,8,4,"1,2,6",1,"2,8,1",3
4720,2020,"3,207,032,070",2,1,4,3,1,460000,155000,5,1,44,8,4,"1,3,6",1,"2,1,9",1
4722,2020,11140,1,0,,3,0,171801,109267,4,2,63,9,4,"2,8","5,2","3,8,4",3
4723,2020,31130,1,0,,3,0,82500,27500,4,2,58,9,4,"1,3",1,"10,4,3",3
4724,2020,"2,901,029,010",2,1,1,2,0,325000,162500,4,1,49,9,4,"11,12",1,13,4
4727,2020,"3,207,032,070",2,1,3,4,0,325000,81250,4,2,58,10,4,"1,6",1,"14,2,11",4
4728,2020,"3,901,039,010,390,100,000,000,000",5,4,"3,3,3,3",2,0,1860000,930000,4,1,30,10,4,"1,2,3,6,15","3,6,10","1,2,8",3
4729,2020,"32,060,320,303,203,000,000",4,1,4,4,0,790000,212500,4,2,36,11,4,"1,6",1,"12,14,3",3
4730,2020,"3,303,033,380",2,0,,4,0,236000,82750,4,2,54,11,4,"1,2",1,"5,9,4",3
4731,2020,"3,338,033,380",2,0,,2,0,128000,84000,4,1,35,11,4,"1,6",1,"5,4,2",3
4733,2020,"3,203,032,030",2,0,,4,0,433000,179500,4,2,47,12,4,"1,2",1,"9,12,1","1,3"
4734,2020,"3,204,032,040,320,300,000,000,000",5,1,4,4,0,650000,185000,5,2,38,12,4,"1,3,6",1,"8,2,3","2,3"
4735,2020,35010,1,0,,4,0,307000,95500,5,2,36,12,4,"1,2,17",1,"2,1,9",3
4736,2020,"3,408,034,080",2,0,,4,0,283000,70750,4,1,36,12,4,"1,6",1,"2,3,5",3
4738,2020,31230,1,0,,3,0,100002,33334,4,1,28,1,4,"1,5,6",1,"1,2,12",3
4740,2020,"22,010,312,701,125,000,000",4,"1,0,0,0",2,4,0,240000,60000,4,1,48,1,4,"1,2,3",1,"1,8",3
4741,2020,11230,1,0,,2,0,33000,33000,4,1,54,2,4,"2,8",1,"7,1,2",4
4742,2020,11010,1,0,,2,0,30000,17500,4,2,29,2,4,"1,15",6,"1,2,5",3
4743,2020,"1,110,032,020",2,"0,1",4,4,0,930000,232500,5,1,72,2,4,"1,2,3,6",1,"12,6,15","1,3"
4744,2020,11190,1,0,,2,0,50000,25000,4,2,38,1,4,"1,6,11",1,"1,9,2",3
4747,2020,11120,1,0,,3,0,49998,16666,5,1,67,1,4,3,1,1,1
4748,2020,"1,101,031,120",2,"0,0",,4,0,100000,25000,4,1,62,1,4,"2,4",1,"1,5,9",3
4749,2020,"3,123,031,200",2,"0,0",,2,0,466000,233000,4,2,47,12,4,"1,8",1,"4,2,7",3
4750,2020,11230,1,0,,2,0,55000,27500,4,2,25,12,4,"9,17",6,"1,12,14",3
4751,2020,31230,1,0,,2,0,270000,135000,4,1,28,12,4,"2,8",6,7,3
4753,2020,11030,1,1,9,3,0,282004,118668,4,2,28,3,4,"2,8,15,17","6,5,2","2,8,1",3
4756,2020,"3,404,032,310",2,"2,2","1,4",4,0,810000,202500,4,1,35,2,4,"1,2,3,6,7",1,"1,12",3
4758,2020,32020,1,2,4,4,2,521000,130250,4,2,37,3,4,"1,2,3,6,7",1,"5,6,12",1
4759,2020,31200,1,0,,3,0,65001,21667,4,1,48,4,4,"2,5,6",1,"2,5,1",1
4760,2020,11140,1,0,,4,0,42000,14000,4,2,45,4,4,"1,2",1,"1,2",3
4761,2020,"1,102,011,020",2,"0,0",,2,0,176800,156800,4,2,52,4,4,"2,8","6,5,2","7,8",3
4762,2020,11190,1,0,,5,0,24000,24000,3,1,17,4,4,"1,15","5,6,2","2,1,9",3
4763,2020,"110,203,127,031,200",3,"0,0,0",,4,0,30000,30000,4,1,65,4,4,3,1,"3,5,4",3
4764,2020,11230,1,0,,2,0,24000,14500,4,2,29,5,4,"2,8",6,"2,7",3
4767,2020,11140,1,0,,3,0,40500,13500,4,1,62,5,4,"1,3",1,"1,2,5",3
4768,2020,11190,1,0,,3,0,1562000,1524000,4,2,70,5,4,"2,8",6,"7,8",1
4769,2020,31050,1,0,,4,0,90000,22500,4,2,47,5,4,"1,2,6",1,"4,1,5",3
4770,2020,11020,1,0,,2,0,20000,20000,4,1,58,4,4,"2,8",1,"11,4",3
4772,2020,"32,060,323,201,116,000,000",4,"2,1,0","4,12",2,0,50000,25000,3,1,38,4,4,15,1,"2,1,5",4
4773,2020,11020,1,0,,2,0,56001,18667,4,2,54,4,4,"2,8",1,"7,5,9",3
4774,2020,31230,1,0,,4,0,80000,20000,4,2,55,6,4,"2,3",1,"4,3,5",3
4775,2020,"311,601,122,031,260",3,"0,0,0",,3,0,100002,33334,4,1,57,6,4,"1,3,6",1,11,3
4776,2020,31230,1,0,,4,0,92000,23000,4,2,48,6,4,"1,6,9",1,"4,1,14",3
4777,2020,11010,1,0,,2,0,94000,42800,4,2,29,6,4,"2,15,17",6,"2,1,4",3
4778,2020,31100,1,0,,4,0,110000,27500,4,1,58,7,4,"1,2",1,"1,2,5","1,3"
4779,2020,"111,401,114,031,230",3,"2,0",1,6,0,105996,17666,4,2,26,7,4,"1,2",1,"8,5",4
4780,2020,39010,1,1,4,3,0,470001,156667,4,1,28,7,4,"1,5,6","3,8","2,12,5",3
4781,2020,32310,1,2,4,3,0,510000,170000,4,2,52,7,4,"1,2,6,7",1,"6,12,1",1
4782,2020,31110,1,1,4,5,2,310000,62000,4,1,38,8,4,"5,6,12",1,"1,2,10",1
4783,2020,34040,1,2,1,5,0,1110000,222000,4,2,73,8,4,"1,2,7",1,"8,14",3
4784,2020,34040,1,2,1,5,0,1200000,256000,4,2,73,8,4,"4,7",1,1,3
4785,2020,"350,103,501,035,020",3,2,"12,8",2,0,420000,185000,4,2,61,8,4,"1,2,4,5,6,9",1,"1,12,6",1
4787,2020,"1,121,011,140",2,"0,0",,4,0,100000,25000,4,2,48,9,4,"1,2,15",1,"2,1,8",3
4788,2020,"111,701,116,031,100",3,"0,0,0",,2,0,60000,30000,4,2,28,9,4,"1,2",6,"8,2",3
4791,2020,11140,1,0,,4,0,50000,50000,4,2,25,10,4,"1,2,15",7,"1,2,3",3
4792,2020,"324,103,241,032,060",3,2,"4,4",4,0,1002000,250500,5,2,56,10,4,"1,2,3,4,6,15",1,"6,8,1",3
4793,2020,"3,433,034,020",2,1,4,4,0,505000,126250,4,2,62,11,4,"1,4,6",1,"2,14,1",3
4795,2020,"3,123,031,230",2,"0,0",,2,0,20000,10000,4,1,71,11,4,"1,3",1,"9,4,10",4
4796,2020,31200,1,0,,3,0,42000,14000,4,1,52,5,4,"1,6",1,"1,8,2",3
4797,2020,"31,270,312,603,113,000,000",4,"2,0,1","4,2",4,1,545000,136250,4,1,47,5,4,"1,2,4,6",1,"4,6,14",1
4798,2020,11120,1,0,,4,0,65000,35000,5,1,60,5,4,"1,3",1,"1,5,3",4
4800,2020,11010,1,0,,2,0,30000,20000,4,1,39,6,4,"2,8",1,"1,2,3",3
4801,2020,11010,1,0,,2,1,132000,66000,4,1,48,6,4,"2,8",1,"2,1,4",3
4802,2020,31200,1,0,,3,0,494001,164667,4,2,53,6,4,"2,8,15",1,"9,5,7",1
4803,2020,31230,1,0,,8,0,205000,26250,5,2,63,6,4,"2,6",1,"8,11",5
4804,2020,31120,1,0,,2,0,45000,35000,4,2,38,7,4,"2,8",1,"5,4",3
4805,2020,11010,1,0,,2,0,52000,33500,4,1,48,7,4,"2,8",1,"8,7",3
4806,2020,"3,123,031,230",2,"0,0",,3,0,50001,16667,4,1,54,7,4,2,1,"8,4",3
4808,2020,11020,1,0,,2,0,125000,62500,4,1,58,8,4,"2,8",1,"7,2",1
4809,2020,"31,350,312,001,119,000,000",4,"1,0,0",14,4,2,300000,75000,4,2,48,8,4,"1,2,3,5,6",1,"5,6,3",1
4810,2020,"370,103,701,037,010",3,2,"4,4",4,0,550000,150000,4,1,28,8,4,"1,2,17",1,"1,2,14",3
4811,2020,"39,010,390,103,902,000,000",4,3,"9,9,9",4,0,1085000,815000,4,2,28,8,4,"1,2,3,4,5,6,9,16","8,3,6","1,8,12",3
4812,2020,"3,123,011,210",2,"0,0",,2,0,150000,135000,3,2,52,9,4,"2,8",1,"7,9,4",1
4813,2020,11020,1,0,,1,,30000,30000,4,1,57,9,4,"2,8",1,"7,4",
4814,2020,"3,123,031,230",2,"0,0",,6,0,24002,15667,3,1,34,9,4,2,1,"8,14",3
4815,2020,"3,110,031,260",2,"0,0",,4,0,70000,28750,4,1,60,9,4,"1,3",1,"1,5,2",3
4816,2020,"3,123,011,020",2,"1,0",12,1,,62000,62000,4,1,38,10,4,"2,8",1,"2,1,4",
4817,2020,32310,1,2,4,3,0,812001,270667,4,2,71,10,4,"1,2,6",1,"1,12,6","1,2"
4818,2020,31350,1,0,,3,0,90000,30000,4,2,62,10,4,"1,3,4",1,"1,4,2",4
4819,2020,"3,123,011,210",2,"0,0",,4,2,100000,25000,4,2,37,10,4,"1,2,3",1,"5,3,1",1
4822,2020,"310,503,120,031,020",3,"0,0,0",,4,0,45000,30000,5,1,60,11,4,"1,3",1,"1,9,4",3
4823,2020,31090,1,0,,4,2,100000,25000,3,1,46,12,4,"2,15",1,"8,4,14",1
4824,2020,31150,1,0,,2,0,196000,173000,4,2,30,12,4,"2,8",1,"7,8,9",3
4825,2020,"3,902,039,020",2,3,1,3,0,2019998,806666,5,2,71,12,4,"2,6,16","1,7,3","6,12,1",1
4826,2020,31090,1,0,,1,,250000,250000,3,1,38,12,4,"2,8,15",1,"8,5,7",
4827,2020,11010,1,0,,4,0,43000,29000,5,1,57,12,4,"1,2,3",1,"4,1,3",3
4828,2020,31090,1,1,12,3,0,80000,40000,4,2,54,12,4,"1,2,15",1,"6,8,4",1
4829,2020,"3,602,036,450",2,"1,1","4,12",4,0,600000,150000,4,2,22,1,5,"1,6",8,"2,11",3
4830,2020,"3,639,036,460",2,"0,1",12,4,2,200000,50000,4,2,48,1,5,"1,2,6",1,"2,8",1
4831,2020,36310,1,0,,2,0,150000,75000,4,1,64,1,5,"1,2",1,"4,8,2",1
4832,2020,"3,636,036,390",2,"1,1","10,12",2,0,250000,125000,4,1,32,1,5,"1,2,6",1,"2,8",3
4833,2020,36440,1,0,,2,0,150000,75000,4,1,62,2,5,"1,2",1,"2,11",1
4834,2020,36310,1,0,,3,1,150003,50001,4,2,47,2,5,"1,2",1,"4,2",1
4835,2020,35380,1,1,3,2,0,310000,155000,5,1,23,2,5,"1,6",8,"1,2",3
4836,2020,36370,1,0,,8,0,240000,33125,5,2,51,3,5,"1,2,6",8,"1,3","1,3"
4837,2020,36310,1,0,,2,0,55000,27500,5,1,19,3,5,"1,2,6,9,15,16",6,"5,1",3
4838,2020,39010,1,1,3,4,0,3280000,820000,5,2,28,3,5,"1,2,6,8,9,15,16,17","3,8","1,14",3
4839,2020,36370,1,0,,2,0,145000,72500,5,2,46,3,5,"1,2,6,8,15",1,"14,2",1
4841,2020,36390,1,0,,4,0,172000,43000,5,2,62,4,5,"1,2,4,6,9,15",1,"5,3",3
4842,2020,36350,1,0,,4,2,175000,43750,5,1,37,4,5,"1,2,6,8,9,15",1,"3,10",1
4843,2020,36020,1,0,,2,0,146000,73000,5,1,28,4,5,"1,2,3,6,8,9,15",1,"2,4",3
4844,2020,36310,1,0,,4,0,93000,23250,5,2,28,4,5,"1,2,6,9",1,"1,8",3
4845,2020,35380,1,0,,4,1,178000,44500,5,1,49,4,5,"1,2,6",1,"2,3,4",1
4846,2020,36310,1,0,,2,0,150000,75000,4,2,62,1,5,"1,2",1,"4,2",1
4847,2020,"3,636,036,410",2,"1,1","3,12",4,2,230000,57500,5,1,38,1,5,"1,2,11",1,"2,1",1
4848,2020,35330,1,1,4,4,1,650000,162500,5,1,45,1,5,"1,3,6",1,"2,1,14",1
4849,2020,"3,638,036,360",2,"0,1",12,6,0,200000,40000,4,1,17,1,5,"1,6",1,"2,4",1
4850,2020,36020,1,1,3,2,0,340000,170000,4,1,26,1,5,"1,6",1,"2,8",3
4851,2020,"3,533,036,310",2,"1,1","4,12",3,1,620001,206667,4,2,47,1,5,"1,3,6",1,"2,1",1
4852,2020,35330,1,1,3,4,0,310000,77500,4,2,27,1,5,"1,6",1,"2,1",3
4853,2020,35040,1,0,,2,0,150000,75000,4,1,64,1,5,"1,2",1,"2,1",1
4854,2020,36370,1,0,,2,0,100000,50000,4,2,58,1,5,1,1,"2,1",3
4855,2020,36430,1,0,,4,2,160000,42500,5,1,43,5,5,"1,2,5,6",1,"2,14",1
4856,2020,36400,1,0,,4,2,160000,40000,5,1,39,5,5,"1,2,5,6,8,15",1,"14,2",1
4857,2020,35370,1,1,3,4,2,320000,80000,4,2,42,6,5,"1,6",1,2,1
4858,2020,"3,602,036,020",2,1,3,4,2,400000,100000,5,1,49,6,5,"1,2,6",1,"2,1",1
4859,2020,36350,1,1,3,4,0,450000,112500,4,1,28,6,5,"1,6",1,2,3
4860,2020,36360,1,0,,3,1,200001,66667,4,1,36,6,5,1,1,2,1
4861,2020,36380,1,1,11,4,0,300000,75000,5,2,22,6,5,"1,6",1,2,3
4862,2020,"3,602,036,020",2,1,3,3,1,420000,140000,4,2,47,7,5,"1,2,6",1,"2,1",1
4863,2020,"3,538,035,380",2,1,3,4,2,400000,100000,5,1,49,7,5,"1,6",1,"2,1",1
4864,2020,36380,1,0,,4,0,300000,75000,5,2,21,7,5,"1,2",1,2,3
4865,2020,36020,1,0,,4,0,300000,75000,4,1,22,7,5,"1,2",1,"2,1",3
4866,2020,35380,1,0,,4,2,300000,75000,4,1,37,7,5,"1,2",1,"2,1,11",1
4870,2020,36310,1,0,,8,0,22000,22000,5,1,33,2,5,3,9,"2,14,3",5
4871,2020,36360,1,0,,4,2,160000,40000,5,1,42,2,5,"1,2,6",1,"3,2,1",1
4872,2020,36390,1,0,,4,0,200000,50000,4,2,32,8,5,"1,2",1,"4,8",3
4873,2020,35380,1,1,3,4,2,300000,75000,5,2,47,8,5,"1,2,6",1,"2,8",1
4874,2020,36310,1,0,,2,0,150000,75000,4,1,54,8,5,"1,2",1,"2,4",1
4875,2020,"3,633,036,330",2,1,3,3,1,209997,69999,4,1,36,8,5,"1,6",1,"2,11",1
4876,2020,"3,602,036,020",2,1,3,4,0,450000,112500,4,1,28,8,5,"1,2,6",1,"2,4",3
4877,2020,"3,504,036,410",2,"0,1",12,4,0,200000,50000,4,1,27,9,5,"1,2",1,"2,1",3
4878,2020,"3,538,036,400",2,"1,1","3,12",3,1,300000,100000,5,2,38,9,5,"1,2,6",1,"2,1",1
4879,2020,"3,631,036,460",2,"0,1",12,4,2,200000,50000,4,1,47,9,5,"1,2",1,"2,4",1
4880,2020,36310,1,0,,2,0,100000,50000,5,1,54,9,5,"1,2",1,"2,4",1
4881,2020,36390,1,0,,2,0,150000,75000,4,2,53,9,5,"1,2",1,2,1
4882,2020,36030,1,0,,2,0,150000,75000,4,1,54,10,5,1,1,2,1
4883,2020,"3,644,036,020",2,"0,1",3,3,1,399999,133333,4,2,47,10,5,"1,6",1,2,1
4884,2020,"364,403,632,036,320",3,"0,1",3,4,0,360000,90000,5,1,27,10,5,"1,2,6",1,"2,1",3
4885,2020,36310,1,0,,2,0,150000,75000,4,2,54,10,5,"1,2",1,"2,4",1
4886,2020,"363,603,635,036,350",3,"0,1",3,4,2,400000,100000,4,1,44,10,5,"1,4,6",1,"2,11",1
4887,2020,35040,1,0,,4,2,200000,50000,4,2,48,11,5,"1,2",1,"2,8",1
4888,2020,35320,1,1,3,3,1,300000,100000,4,2,36,11,5,"1,6",1,"2,11",1
4889,2020,"3,632,036,320",2,1,3,4,0,400000,100000,5,1,28,11,5,"1,2,6",1,"2,4",3
4890,2020,35040,1,0,,4,0,200000,50000,4,2,27,11,5,"1,2",1,"2,4",3
4891,2020,36020,1,1,3,4,2,400000,100000,4,1,37,11,5,"1,6",1,"2,1",1
4892,2020,35310,1,1,3,5,0,620000,188000,4,2,24,3,5,"1,2,6",1,"8,2,1",3
4894,2020,"3,648,036,480",2,1,3,4,2,330000,82500,4,1,37,4,5,"1,6",1,"2,11",1
4895,2020,36320,1,1,3,4,0,310000,77500,4,1,22,4,5,"1,6,11",8,"2,4",3
4896,2020,36410,1,0,,4,0,300000,75000,4,2,21,4,5,"1,6","1,8",2,3
4897,2020,36440,1,0,,4,2,200000,50000,5,1,43,4,5,1,1,"2,4",1
4898,2020,"3,638,036,380",2,1,3,2,0,300000,150000,4,1,65,12,5,"1,2,6",1,"2,1",1
4899,2020,36380,1,0,,4,2,200000,50000,4,2,47,12,5,"1,2",1,"2,1",1
4900,2020,"3,636,036,360",2,1,3,4,2,400000,100000,5,1,35,12,5,"1,2,6",1,"2,11",1
4901,2020,35330,1,1,4,4,0,700000,175000,4,2,21,12,5,"1,3,6",1,"2,1",3
4902,2020,36360,1,0,,4,2,200000,50000,4,2,37,12,5,"1,2",1,"2,4",1
4903,2020,36480,1,1,3,4,2,470000,117500,5,1,45,5,5,"1,6",1,"2,4",1
4904,2020,36380,1,1,11,4,0,490000,122500,4,1,22,5,5,"1,2,6",1,"2,1",3
4905,2020,36440,1,0,,2,0,200000,100000,4,2,54,5,5,"1,2",1,"2,4",1
4906,2020,"3,635,036,350",2,1,3,4,1,450000,112500,4,1,17,5,5,"1,6",1,"2,1",1
4908,2020,35050,1,1,3,2,0,320000,160000,4,2,62,5,5,1,1,"2,1",1
4909,2020,35380,1,1,3,4,0,310000,77500,5,2,25,6,5,"1,6",1,2,3
4910,2020,"3,631,036,440",2,"0,0",,3,1,150000,50000,4,1,36,6,5,1,1,"2,4",1
4911,2020,36020,1,1,4,4,2,350000,87500,4,2,48,6,5,"1,6",1,"1,2",1
4912,2020,"3,638,036,380",2,1,3,4,0,320000,80000,4,1,28,6,5,"1,6",1,2,3
4913,2020,36410,1,0,,2,0,150000,75000,4,2,55,6,5,1,1,2,1
4914,2020,"2,102,021,010",2,0,,3,0,342000,124000,5,2,20,1,5,"1,6,9",6,"11,1,5",3
4915,2020,"3,502,035,020",2,0,,5,1,254001,60167,4,2,17,1,5,"1,4,16",1,"2,1,12",1
4919,2020,"360,303,603,036,030",3,2,3,3,0,373998,124666,4,1,55,1,5,"1,2",1,"4,12,3",1
4921,2020,36370,1,0,,3,0,18500,18500,4,2,49,7,5,"1,2,6",1,"1,2,8",3
4922,2020,36450,1,0,,3,0,38000,35000,5,2,66,7,5,"1,2,6",1,"2,8,4",3
4923,2020,36390,1,0,,2,0,60000,60000,4,2,24,7,5,"1,2,6",1,"8,1,2",3
4924,2020,35380,1,0,,3,0,43500,43500,4,1,27,7,5,"1,2,6",1,"4,8,11",3
4925,2020,"3,538,035,380",2,1,3,8,1,114500,114500,5,1,62,7,5,"1,2,6",1,"8,1,3",1
4927,2020,35010,1,0,,4,0,63500,63500,5,2,44,2,5,"1,2,6",1,"2,8,5",3
4928,2020,36370,1,0,,4,2,57500,36500,5,1,42,2,5,"1,2,6,12",1,"4,2,13",1
4929,2020,35010,1,0,,3,0,53800,53800,5,2,26,3,5,"1,2,6",1,"14,1,5",3
4931,2020,"3,644,036,310",2,"0,0",,3,0,28000,28000,5,2,54,3,5,"1,2,6",1,"11,1,8",1
4932,2020,36320,1,0,,4,0,21000,21000,4,1,18,3,5,"1,2,6",1,"8,9,5",1
4934,2020,36310,1,0,,2,0,38000,38000,5,1,28,4,5,"1,2,6",1,"4,2,14",3
4935,2020,36010,1,0,,2,0,37000,37000,5,2,42,4,5,"1,2,6",1,"4,14,2",1
4936,2020,36020,1,0,,2,0,42000,42000,5,2,25,4,5,"1,2,6",1,"8,2,1",1
4937,2020,36390,1,0,,2,0,40000,40000,5,1,56,4,5,"1,2,6",1,"14,2",1
4939,2020,35380,1,0,,4,0,79500,19875,4,1,53,5,5,"1,2,6",1,"8,4",4
4940,2020,"3,536,036,310",2,1,3,3,0,118000,118000,5,1,28,5,5,"1,2,6",1,"8,1,2",3
4941,2020,35050,1,0,,3,0,80800,33600,5,1,17,5,5,"1,2,4,6",1,"1,4,8",1
4942,2020,"3,502,035,020",2,1,1,3,0,119000,119000,5,2,48,5,5,"1,2,6",1,"1,8,14",1
4943,2020,"3,648,036,010",2,0,,5,0,52500,52500,5,2,54,5,5,"1,2,6",1,"2,8,4",1
4944,2020,"3,646,036,460",2,1,3,3,0,134501,121167,5,2,24,5,5,"1,2,6",1,"2,1,8",3
4945,2020,"3,538,035,380",2,1,3,8,0,134700,134700,4,2,44,8,5,"1,2,6",1,"2,1,8",1
4946,2020,"3,637,036,370",2,1,4,4,0,101800,101800,5,1,29,8,5,"1,2,6,7",1,"8,1,6",3
4947,2020,"3,602,036,020",2,1,3,3,0,115500,115500,5,2,22,8,5,"1,2,3,6",1,"2,3,6",3
4948,2020,36010,1,0,,4,0,52700,52700,5,2,32,8,5,"1,2,3,6",1,"5,8,4",3
4950,2020,36370,1,0,,5,0,28500,28500,5,1,76,8,5,"1,2,6",1,"8,1,3",1
4951,2020,"36,020,360,203,602,000,000,000,000,000,000,000",7,"0,1",12,2,0,169000,84500,4,1,26,6,5,"1,2,6,16",1,"3,1,5",3
4952,2020,"23,010,230,102,304,000,000",4,1,2,3,0,393003,193501,5,1,18,6,5,"1,6,8",1,"14,1,2",1
4954,2020,"3,538,035,380",2,0,,5,0,188000,46000,4,1,68,6,5,"1,2,6",1,"5,11,3",5
4956,2020,"3,648,036,480",2,0,,3,0,189999,73333,4,1,18,9,5,"1,2,6",1,"5,4,3",1
4958,2020,"3,602,036,020,360,200,000,000,000",5,1,2,1,,384000,96000,5,2,17,9,5,"1,2,3,5,6",1,"8,3,14",
4959,2020,"363,103,631,036,310",3,0,,2,0,126000,63000,4,1,33,9,5,"1,2,6",1,"3,5,4",3
4960,2020,36010,1,0,,3,0,62000,62000,4,1,17,10,5,"1,2,6",1,"8,2,1",1
4961,2020,36440,1,0,,3,0,29800,29800,5,2,58,10,5,"1,2,6",1,"1,2,8",3
4962,2020,36370,1,0,,2,0,29500,29500,4,1,66,10,5,"1,2,6",1,"8,2,4",1
4964,2020,"3,536,035,360",2,1,12,4,2,112000,112000,5,2,43,10,5,"1,2,6",1,"14,8,6",1
4965,2020,"3,502,035,020",2,1,3,4,2,112500,112500,5,1,36,10,5,"1,2,6",1,"8,1,5",1
4967,2020,"3,646,036,460",2,1,3,2,0,130000,130000,4,1,28,7,5,"1,2,6",1,"4,2,1",3
4968,2020,"3,901,039,020,390,200,000,000,000",5,4,"5,5,5,5",5,0,805500,805500,5,1,56,7,5,"1,2,6","4,8,3","2,1,8",3
4969,2020,35370,1,0,,3,0,29000,29000,5,2,54,7,5,"1,2,6",1,"8,5,2",1
4970,2020,36450,1,0,,2,0,25500,25500,4,1,66,7,5,"1,2,6",1,"8,1,2",1
4971,2020,36360,1,0,,3,0,49500,46125,5,2,24,7,5,"1,2,6,8",1,"9,8,3",3
4972,2020,"3,646,036,460",2,1,3,3,0,140000,113750,5,2,56,8,5,"1,2,6",1,"8,1,4",1
4973,2020,35380,1,0,,3,0,40700,37325,4,1,25,8,5,"1,2,6",1,"2,1,8",3
4974,2020,35360,1,0,,4,0,44000,44000,5,1,72,8,5,"1,2,6",1,"5,4,3",3
4975,2020,36410,1,0,,3,0,35000,35000,4,2,22,8,5,"1,6,17",1,"1,8,12",3
4976,2020,"39,020,390,103,901,000,000",4,3,"4,4,4",5,1,816000,816000,5,2,32,8,5,"1,2,5,6,9,11","3,4,8","8,1,2","1,2"
