,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship
12496,2020,"350,503,505,024,030",3,"0,0",,4,2,82500,23750,5,2,34,12,13,"1,2,4,5,6",1,"8,2,12",1
12497,2020,"3,835,038,350",2,0,,3,0,131500,62500,5,2,54,12,13,"1,2,5,6",1,"2,1",3
12498,2020,"3,603,035,020",2,"0,0",,2,0,72000,36000,5,1,25,12,13,"1,2,6",1,"2,8,1",3
12499,2020,"3,836,038,360",2,0,,3,1,89001,40917,5,1,33,12,13,"1,2,6",1,"1,2",1
12500,2020,35320,1,0,,2,0,94000,47000,5,1,48,9,13,"3,6",1,"10,5,11",1
12501,2020,25040,1,0,,4,0,50000,42500,4,1,68,9,13,"1,2,6",1,"1,13,3",2
12503,2020,36360,1,0,,2,0,150000,75000,4,1,47,1,13,"1,2",1,"1,12,14",1
12504,2020,"3,401,034,010",2,1,12,3,1,189999,63333,4,1,38,1,13,"1,6",1,"3,1",1
12505,2020,35380,1,0,,4,0,180000,45000,4,1,62,1,13,"1,2",1,"5,2,14",3
12506,2020,24030,1,0,,4,0,200000,50000,4,1,25,1,13,"1,17",6,"1,5,4",3
12507,2020,"2,109,021,010",2,1,9,5,0,500000,100000,4,2,26,1,13,"1,2,6,15",6,"5,2,12",1
12508,2020,"3,531,024,030",2,"0,0",,4,2,100000,25000,4,2,36,1,13,1,1,"2,3",1
12512,2020,35310,1,0,,4,0,40000,10000,4,2,57,11,13,1,1,"1,11,9","1,3"
12514,2020,35020,1,0,,3,1,100000,55000,4,2,35,11,13,"4,15,16",1,"2,4,3",1
12520,2020,"3,505,035,360",2,1,12,2,0,120000,35000,4,1,50,1,13,1,1,"9,3,2",1
12521,2020,36310,1,0,,2,0,100000,50000,4,1,29,1,13,1,1,"3,11",3
12522,2020,35020,1,0,,4,1,100000,25000,4,1,49,1,13,1,1,2,1
12523,2020,36360,1,0,,4,0,110000,27500,4,2,20,1,13,1,1,"12,2,14",1
12524,2020,35010,1,0,,4,2,100000,25000,4,1,35,1,13,"1,6",1,"4,14,12",1
