,year,sex,age,age,month,living_area,satisfied,cost_total_trip,number_of_children,number_of_ppl,A6_1,A6_2,A6_3,A6_4,A6_5,A6_6,A6_7,A6_8,A6_9,A6_10,A6_11,A6_12,A6_13,A6_14,D_TRA1_SMONTH,D_TRA2_SMONTH,D_TRA3_SMONTH,D_TRA4_SMONTH,D_TRA5_SMONTH,D_TRA6_SMONTH,D_TRA7_SMONTH,D_TRA8_SMONTH,D_TRA1_1_SPOT1,D_TRA1_1_SPOT2,D_TRA1_1_SPOT3,D_TRA1_1_SPOT4,D_TRA1_1_SPOT5,D_TRA1_1_SPOT6,D_TRA1_1_SPOT7,D_TRA1_1_SPOT8,D_TRA1_1_SPOT9,D_TRA1_1_SPOT10,D_TRA2_1_SPOT1,D_TRA2_1_SPOT2,D_TRA2_1_SPOT3,D_TRA2_1_SPOT4,D_TRA2_1_SPOT5,D_TRA2_1_SPOT6,D_TRA2_1_SPOT7,D_TRA2_1_SPOT8,D_TRA2_1_SPOT9,D_TRA2_1_SPOT10,D_TRA3_1_SPOT1,D_TRA3_1_SPOT2,D_TRA3_1_SPOT3,D_TRA3_1_SPOT4,D_TRA3_1_SPOT5,D_TRA3_1_SPOT6,D_TRA3_1_SPOT7,D_TRA3_1_SPOT8,D_TRA3_1_SPOT9,D_TRA3_1_SPOT10,D_TRA4_1_SPOT1,D_TRA4_1_SPOT2,D_TRA4_1_SPOT3,D_TRA4_1_SPOT4,D_TRA4_1_SPOT5,D_TRA4_1_SPOT6,D_TRA4_1_SPOT7,D_TRA4_1_SPOT8,D_TRA4_1_SPOT9,D_TRA4_1_SPOT10,D_TRA5_1_SPOT1,D_TRA5_1_SPOT2,D_TRA5_1_SPOT3,D_TRA5_1_SPOT4,D_TRA5_1_SPOT5,D_TRA5_1_SPOT6,D_TRA5_1_SPOT7,D_TRA5_1_SPOT8,D_TRA5_1_SPOT9,D_TRA5_1_SPOT10,D_TRA6_1_SPOT1,D_TRA6_1_SPOT2,D_TRA6_1_SPOT3,D_TRA6_1_SPOT4,D_TRA6_1_SPOT5,D_TRA6_1_SPOT6,D_TRA6_1_SPOT7,D_TRA6_1_SPOT8,D_TRA6_1_SPOT9,D_TRA6_1_SPOT10,D_TRA7_1_SPOT1,D_TRA7_1_SPOT2,D_TRA7_1_SPOT3,D_TRA7_1_SPOT4,D_TRA7_1_SPOT5,D_TRA7_1_SPOT6,D_TRA7_1_SPOT7,D_TRA7_1_SPOT8,D_TRA7_1_SPOT9,D_TRA7_1_SPOT10,D_TRA8_1_SPOT1,D_TRA8_1_SPOT2,D_TRA8_1_SPOT3,D_TRA8_1_SPOT4,D_TRA8_1_SPOT5,D_TRA8_1_SPOT6,D_TRA8_1_SPOT7,D_TRA8_1_SPOT8,D_TRA8_1_SPOT9,D_TRA8_1_SPOT10,D_TRA1_S_Day,D_TRA2_S_Day,D_TRA3_S_Day,D_TRA4_S_Day,D_TRA5_S_Day,D_TRA6_S_Day,D_TRA7_S_Day,D_TRA8_S_Day,target_area,no_of_place,month,sleepnights,accommodation,target_beforesplit,transportation,reason,relationship_beforesplit
20,2019.0,1,6,6,4,11,4.0,30000.0,0.0,28.0,,,,,,,,,,,,,,,4.0,,,,,,,,31270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,31270,1,,0,,"1,2,6","7,8","9,2,3",5
21,2019.0,2,3,3,4,11,4.0,1350000.0,0.0,6.0,1.0,,,,,,,,,,,,,,4.0,,,,,,,,32030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,32030,1,,1,1,"1,6",1,"4,2,5","1,2"
22,2019.0,2,4,4,4,11,4.0,286000.0,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,31190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,31190,1,,0,,5,1,"1,4,13",
23,2019.0,2,6,6,4,11,4.0,97000.0,0.0,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,23310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,23310,1,,0,,"1,4,6",1,"3,8,12",3
24,2019.0,1,1,1,4,11,4.0,219000.0,1.0,3.0,,,3.0,,,,,,,,,,,,4.0,,,,,,,,32060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,32060,1,,1,3,"1,2,4",1,"8,2",1
25,2019.0,1,5,5,4,11,4.0,32000.0,0.0,56.0,,,,,,,,,,,,,,,4.0,,,,,,,,34050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,34050,1,,0,,"1,2",7,"8,3,1",5
26,2019.0,2,5,5,2,11,4.0,103000.0,0.0,8.0,,2.0,,,,,,,,,,,,,2.0,2.0,,,,,,,33350.0,,,,,,,,,,31100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,"33350,31100",2,,"1,0",2,"1,2,6",1,"4,2,14","1,2"
27,2019.0,1,6,6,2,11,4.0,195000.0,0.0,12.0,,,,,,,,,,,,,,,2.0,,,,,,,,23310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,23310,1,,0,,"1,2,4,5,6,8,9","3,7,6","9,5,1",3
28,2019.0,1,2,2,2,11,4.0,35300.0,0.0,7.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,23310.0,,,,,,,,,,37090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,"23310,37090",2,,"0,2",,"1,2,4",6,"3,5,8",3
29,2019.0,2,3,3,2,11,4.0,442000.0,1.0,3.0,,,3.0,,,,,,,,,,,,2.0,2.0,,,,,,,32030.0,,,,,,,,,,31220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,"32030,31220",2,,"1,0",3,"1,2,4,6",1,"8,4,9",1
30,2019.0,2,1,1,2,11,4.0,69500.0,0.0,5.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,31190.0,,,,,,,,,,34020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,"31190,34020",2,,"0,1",,"5,6",6,"9,3,10",3
31,2019.0,1,5,5,5,11,4.0,636000.0,0.0,6.0,,,,4.0,,,,,,,,,,,5.0,,,,,,,,34360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,34360,1,,1,4,"2,6",1,11,4
32,2019.0,2,4,4,5,11,4.0,323500.0,0.0,4.0,,,,,,,,,,,,,,,5.0,,,,,,,,31190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,31190,1,,0,,"1,5",1,"5,2,4",1
33,2019.0,2,2,2,5,11,4.0,88800.0,0.0,2.0,,,,,,,,,,,,,,,5.0,,,,,,,,31110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,31110,1,,0,,"1,5,6","5,2","2,12,14",3
34,2019.0,2,3,3,5,11,4.0,165000.0,0.0,2.0,,,,,,,,,,,,12.0,,,5.0,,,,,,,,23320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,23320,1,,1,12,"1,2,6",1,"1,3",3
35,2019.0,1,4,4,5,11,4.0,486000.0,0.0,8.0,,,,4.0,,,,,,,,,,,5.0,,,,,,,,32340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,32340,1,,1,4,"1,2,6,7",1,"5,2,1","1,2"
36,2019.0,2,6,6,5,11,4.0,50000.0,0.0,34.0,,,,,,,,,,,,,,,5.0,,,,,,,,32060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,32060,1,,0,,"1,2,6",7,"3,2,13",5
37,2019.0,1,1,1,5,11,4.0,487000.0,0.0,2.0,,,3.0,,,,,,,,,,,,5.0,,,,,,,,35380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,35380,1,,1,3,"1,6",1,4,1
