,year,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,no_of_place,sleepnights_1,sleepnights_2,sleepnights_3,sleepnights_4,sleepnights_5,sleepnights_6,sleepnights_7,sleepnights_8,accommodation_1,accommodation_2,accommodation_3,number_of_ppl,number_of_children,cost_total_trip,satisfied,sex,age,month,living_area,transportation1,transportation2,transportation3,reason1,reason2,reason3,relationship1,relationship2,relationship3,target
66,2018,32310,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,130000,4,2,28,1,11,1,0,0,12,5,0,3,0,0,엑티비티
67,2018,38050,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,4,0,187500,4,1,44,5,11,1,0,0,9,5,6,1,0,0,"힐링,호캉스"
68,2018,32060,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,87272,4,2,43,10,11,2,0,0,12,6,0,0,0,0,"힐링,호캉스"
69,2018,32410,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,1,17872,4,1,38,10,11,1,0,0,3,5,2,1,0,0,"힐링,호캉스"
70,2018,31370,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,58604,4,2,52,10,11,1,0,0,2,3,0,1,0,0,"힐링,호캉스"
71,2018,31380,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4,2,40000,3,2,35,10,11,1,0,0,4,3,2,1,0,0,"힐링,호캉스"
72,2018,31190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,79999,4,2,46,3,11,1,0,0,12,9,3,1,0,0,엑티비티
73,2018,34040,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,102000,4,2,63,2,11,1,0,0,3,6,0,1,0,0,"힐링,호캉스"
74,2018,31380,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,59999,4,2,36,2,11,5,0,0,3,9,0,0,0,0,"힐링,호캉스"
75,2018,33030,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,1,0,48360,4,1,51,8,11,6,0,0,1,4,5,0,0,0,"힐링,호캉스"
76,2018,32030,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,67551,4,1,34,8,11,1,0,0,6,9,2,1,0,0,"힐링,호캉스"
77,2018,38050,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,4,0,207000,4,2,50,5,11,1,0,0,12,4,11,1,0,0,"힐링,호캉스"
78,2018,38110,37360,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,90000,4,2,46,4,11,1,0,0,14,9,8,3,0,0,"축제,관광"
79,2018,31370,33380,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,75999,4,1,28,3,11,1,0,0,1,14,4,3,0,0,"힐링,호캉스"
80,2018,32030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,52999,4,2,44,1,11,1,0,0,1,2,3,1,0,0,"힐링,호캉스"
81,2018,32310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,50000,4,2,25,8,11,7,0,0,12,4,0,3,0,0,"힐링,호캉스"
82,2018,34080,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4,0,86458,4,1,70,9,11,1,0,0,4,3,0,1,0,0,"힐링,호캉스"
83,2018,31380,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,68750,5,1,22,11,11,1,0,0,11,14,0,3,0,0,엑티비티
84,2018,34020,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,4,0,95145,4,2,56,9,11,1,0,0,2,9,0,1,0,0,"힐링,호캉스"
85,2018,31100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,34615,4,1,36,9,11,1,0,0,3,4,0,4,0,0,"힐링,호캉스"
