,place_info,area,target
177,금산사,전라남도 신안군,"힐링, 호캉스"
178,불영암,서울특별시 금천구,"힐링, 호캉스"
179,음식거리,대전광역시 중구,"식도락, 맛집투어"
180,상화문학제,대구광역시 수성구,"축제, 관광"
181,신탄진봄꽃축제,대전광역시 대덕구,"축제, 관광"
182,다혜원허브월드,경상남도 밀양시,"힐링, 호캉스"
183,천문사,경상북도 청도군,"힐링, 호캉스"
184,주산벚꽃축제,충청남도 보령시,"축제, 관광"
185,해남송호리해송림,전라남도 해남군,"축제, 관광"
186,충효사,전라남도 화순군,"힐링, 호캉스"
187,미림수목원,전라남도 순천시,"축제, 관광"
188,군산에어쇼,전라북도 군산시,"축제, 관광"
189,민속모시송편,전라남도 영광군,"식도락, 맛집투어"
190,보물섬마늘축제,경상남도 남해군,"축제, 관광"
191,들꽃축제,경상남도 양산시,"축제, 관광"
192,통영예술제,경상남도 통영시,"축제, 관광"
193,산청향교,경상남도 산청군,"축제, 관광"
194,도천서원,경상남도 산청군,"축제, 관광"
195,충효테마파크,경상남도 고성군,"힐링, 호캉스"
196,학마을축제,경상북도 칠곡군,"축제, 관광"
197,정읍전통공예관,전라북도 정읍시,"식도락, 맛집투어"
198,도담삼봉음악분수,충청북도 단양군,"힐링, 호캉스"
199,봉촌제,전라남도 고흥군,"힐링, 호캉스"
200,화담제,전라남도 고흥군,"힐링, 호캉스"
201,성불사,부산광역시 해운대구,"힐링, 호캉스"
202,제주카트체험장,제주특별자치도 제주시,"힐링, 호캉스"
203,두륜사,전라남도 해남군,"힐링, 호캉스"
204,용문제,전라남도 장흥군,"힐링, 호캉스"
205,내동제,전라남도 장흥군,"힐링, 호캉스"
206,자포제,전라남도 보성군,"힐링, 호캉스"
207,대야제,전라남도 보성군,"힐링, 호캉스"
208,세곡제,전라남도 고흥군,"힐링, 호캉스"
209,갑사계곡,충청남도 공주시,액티비티
210,고동산계곡,경기도 가평군,액티비티
211,칠연계곡,전라북도 무주군,액티비티
212,가봉제,전라남도 화순군,"힐링, 호캉스"
213,일월사,충청북도 음성군,"힐링, 호캉스"
214,서울DMC컬쳐오픈,서울특별시 마포구,"축제, 관광"
215,관음사,대전광역시 서구,"힐링, 호캉스"
